id,title,averageRating,author,language
55,Brave New World,3.97,Aldous Huxley,eng
56,Breaking Dawn,3.7,Stephenie Meyer,en-US
57,The Secret Life of Bees,4.01,Sue Monk Kidd,en-US
58,The Adventures of Huckleberry Finn,3.8,"Mark Twain, John Seelye, Guy Cardwell",eng
59,Charlotte's Web,4.15,"E.B. White, Garth Williams, Rosemary Wells",eng
60,The Curious Incident of the Dog in the Night-Time,3.85,Mark Haddon,eng
61,The Girl on the Train,3.88,Paula Hawkins,eng
62,Northern Lights,3.94,Philip Pullman,eng
63,Wuthering Heights,3.82,"Emily Brontë, Richard J. Dunn",eng
64,My Sister's Keeper,4.06,Jodi Picoult,eng
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,Kurt Vonnegut Jr.,eng
66,Gone with the Wind,4.28,Margaret Mitchell,eng
67,A Thousand Splendid Suns,4.34,Khaled Hosseini,eng
68,The Perks of Being a Wallflower,4.21,Stephen Chbosky,eng
69,Insurgent,4.07,Veronica Roth,eng
70,Ender's Game,4.3,Orson Scott Card,eng
71,"Frankenstein; or, The Modern Prometheus",3.75,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",eng
72,The Shining,4.17,Stephen King,eng
73,The Host,3.84,Stephenie Meyer,en-US
74,Looking for Alaska,4.09,John Green,eng
75,,3.75,Helen Fielding,eng
76,Sense and Sensibility,4.06,"Jane Austen, Tony Tanner, Ros Ballaster",eng
77,Holes,3.93,"Louis Sachar, Louis Sachar",eng
78,The Devil Wears Prada,3.7,Lauren Weisberger,eng
79,Ὀδύσσεια,3.73,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",eng
80,Le Petit Prince,4.28,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",eng
81,The Glass Castle,4.24,Jeannette Walls,eng
82,Into the Wild,3.94,Jon Krakauer,eng
83,A Tale of Two Cities,3.81,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",eng
84,Jurassic Park,3.96,Michael Crichton,spa
85,The Giving Tree,4.38,Shel Silverstein,eng
86,A Time to Kill,4.03,John Grisham,eng
87,Un di Velt Hot Geshvign,4.3,"Elie Wiesel, Marion Wiesel",eng
88,Paper Towns,3.88,John Green,en-US
89,The Princess Bride,4.25,William Goldman,en-US
90,The Outsiders,4.06,S.E. Hinton,en-US
91,The Maze Runner,4.02,James Dashner,eng
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,"Steven D. Levitt, Stephen J. Dubner",en-US
93,The Secret Garden,4.12,Frances Hodgson Burnett,eng
94,Cien años de soledad,4.04,"Gabriel García Márquez, Gregory Rabassa",eng
95,The Picture of Dorian Gray,4.06,"Oscar Wilde, Jeffrey Eugenides",eng
96,Fifty Shades Freed,3.88,E.L. James,eng
97,Dracula,3.98,"Bram Stoker, Nina Auerbach, David J. Skal",eng
98,Flickan som lekte med elden,4.22,"Stieg Larsson, Reg Keeland",eng
99,Fifty Shades Darker,3.87,E.L. James,eng
100,The Poisonwood Bible,4.02,Barbara Kingsolver,eng
101,Me Talk Pretty One Day,3.97,David Sedaris,eng
102,Where the Wild Things Are,4.22,Maurice Sendak,eng
103,Le Comte de Monte-Cristo,4.21,"Alexandre Dumas, Robin Buss",eng
104,The Road,3.95,Cormac McCarthy,eng
105,Allegiant,3.63,Veronica Roth,eng
106,Bossypants,3.94,Tina Fey,eng
107,A Walk to Remember,4.15,Nicholas Sparks,en-US
108,Confessions of a Shopaholic,3.61,Sophie Kinsella,eng
109,Les Misérables,4.14,"Victor Hugo, Lee Fahnestock, Norman MacAfee",eng
110,A Clash of Kings,4.4,George R.R. Martin,eng
111,The Memory Keeper's Daughter,3.64,Kim Edwards,eng
112,Me Before You,4.27,Jojo Moyes,eng
113,Catch-22,3.98,Joseph Heller,en-US
114,Tuesdays with Morrie,4.06,"Mitch Albom, Saulius Dagys",eng
115,Middlesex,3.98,Jeffrey Eugenides,en-US
116,The Adventures of Tom Sawyer,3.89,"Mark Twain, Guy Cardwell, John Seelye",eng
117,A Wrinkle in Time,4.04,Madeleine L'Engle,en-US
118,The Joy Luck Club,3.9,Amy Tan,eng
119,The Handmaid's Tale,4.06,Margaret Atwood,eng
120,The Sisterhood of the Traveling Pants,3.75,Ann Brashares,eng
121,Lolita,3.88,"Vladimir Nabokov, Craig Raine",eng
122,Wicked: The Life and Times of the Wicked Witch of the West,3.52,"Gregory Maguire, Douglas Smith",eng
123,The Firm,3.99,John Grisham,eng
124,Room,4.03,Emma Donoghue,eng
125,"The Tragicall Historie of Hamlet, Prince of Denmark",4,"William Shakespeare, Richard Andrews, Rex Gibson",eng
126,Dune,4.19,Frank Herbert,eng
127,The Tipping Point: How Little Things Can Make a Big Difference,3.92,Malcolm Gladwell,eng
128,Steve Jobs,4.09,Walter Isaacson,eng
129,One Flew Over the Cuckoo's Nest,4.18,Ken Kesey,eng
130,The Old Man and the Sea,3.73,Ernest Hemingway,eng
131,The Grapes of Wrath,3.92,John Steinbeck,eng
132,The Five People You Meet in Heaven,3.9,Mitch Albom,
133,Anne of Green Gables,4.23,L.M. Montgomery,eng
134,City of Glass,4.34,Cassandra Clare,en-US
135,A Storm of Swords,4.54,George R.R. Martin,eng
136,Divine Secrets of the Ya-Ya Sisterhood,3.79,Rebecca Wells,en-US
137,Outlander,4.2,Diana Gabaldon,eng
138,The Scarlet Letter,3.37,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",eng
139,Miss Peregrine’s Home for Peculiar Children,3.89,Ransom Riggs,en-US
140,Luftslottet som sprängdes,4.2,"Stieg Larsson, Reg Keeland",en-US
141,The Martian,4.39,Andy Weir,eng
142,The Pillars of the Earth,4.29,Ken Follett,eng
143,,4.31,Anthony Doerr,eng
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,Laura Hillenbrand,eng
145,Deception Point,3.67,Dan Brown,eng
146,The Goldfinch,3.87,Donna Tartt,eng
147,Thirteen Reasons Why,4.02,Jay Asher,eng
148,Girl with a Pearl Earring,3.85,Tracy Chevalier,eng
149,If I Stay,3.96,Gayle Forman,en-US
150,The Red Tent,4.16,Anita Diamant,en-US
151,The Sea of Monsters,4.23,Rick Riordan,eng
152,Dear John,4.01,Nicholas Sparks,en-US
153,City of Ashes,4.21,Cassandra Clare,eng
154,The Tragedy of Macbeth,3.88,William Shakespeare,eng
155,The Two Towers,4.42,J.R.R. Tolkien,en-US
156,Something Borrowed,3.83,Emily Giffin,eng
157,Green Eggs and Ham,4.29,"Dr. Seuss, לאה נאור",en-US
158,Charlie and the Chocolate Factory,4.1,"Roald Dahl, Quentin Blake",eng
159,The Battle of the Labyrinth,4.39,Rick Riordan,eng
160,Great Expectations,3.75,Charles Dickens,eng
161,The Return of the King,4.51,J.R.R. Tolkien,en-US
162,L’Étranger,3.96,"Albert Camus, Matthew    Ward",eng
163,The Lost Hero,4.35,Rick Riordan,eng
164,Eleanor & Park,4.11,Rainbow Rowell,eng
165,A Feast for Crows,4.1,George R.R. Martin,en-US
166,Matched,3.68,Ally Condie,eng
167,American Gods,4.11,Neil Gaiman,eng
168,The Stand,4.34,"Stephen King, Bernie Wrightson",en-US
169,The Last Song,4.14,Nicholas Sparks,en-GB
170,Digital Fortress,3.6,Dan Brown,en-GB
171,Emma,3.99,"Jane Austen, Fiona Stafford",eng
172,Анна Каренина,4.02,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",eng
173,A Clockwork Orange,3.98,Anthony Burgess,eng
174,The Shack: Where Tragedy Confronts Eternity,3.74,William Paul Young,eng
175,The Last Olympian,4.5,Rick Riordan,eng
176,It,4.18,Stephen King,en-US
177,Преступление и наказание,4.18,"Fyodor Dostoyevsky, David McDuff",eng
178,The Bell Jar,3.98,Sylvia Plath,en-US
179,Angela's Ashes: A Memoir,4.07,Frank McCourt,eng
180,Siddhartha,3.99,"Hermann Hesse, Hilda Rosner",eng
181,In Cold Blood,4.05,Truman Capote,eng
182,Beautiful Creatures,3.76,"Kami Garcia, Margaret Stohl",eng
183,Clockwork Angel,4.33,Cassandra Clare,eng
184,Matilda,4.29,"Roald Dahl, Quentin Blake",eng
185,The Night Circus,4.03,Erin Morgenstern,eng
186,The Other Boleyn Girl,4.04,Philippa Gregory,eng
187,Uglies,3.86,Scott Westerfeld,eng
188,A Dance with Dragons,4.31,George R.R. Martin,eng
189,The Lord of the Rings,4.47,J.R.R. Tolkien,eng
190,Wild: From Lost to Found on the Pacific Crest Trail ,3.96,Cheryl Strayed,eng
191,Watchmen,4.35,"Alan Moore, Dave Gibbons, John Higgins",en-US
192,The Name of the Wind,4.55,Patrick Rothfuss,eng
193,Outliers: The Story of Success,4.11,Malcolm Gladwell,en-US
194,"Moby Dick; or, The Whale",3.46,"Herman Melville, Andrew Delbanco, Tom Quirk",eng
195,The Guernsey Literary and Potato Peel Pie Society,4.12,"Mary Ann Shaffer, Annie Barrows",eng
196,Fight Club,4.2,Chuck Palahniuk,eng
197,Dead Until Dark,3.96,Charlaine Harris,en-US
198,The Color Purple,4.17,Alice Walker,eng
199,Marley & Me: Life and Love with the World's Worst Dog,4.12,John Grogan,eng
200,Ten Little Niggers,4.23,Agatha Christie,eng
201,The Lost Symbol,3.66,Dan Brown,eng
202,"Hush, Hush",4,Becca Fitzpatrick,en-US
203,Beautiful Disaster,4.15,Jamie McGuire,eng
204,A Christmas Carol,4.02,Charles Dickens,
205,Interview with the Vampire,3.97,Anne Rice,eng
206,The Selection,4.15,Kiera Cass,en-US
207,One for the Money,4.03,Janet Evanovich,en-US
208,The Immortal Life of Henrietta Lacks,4.04,Rebecca Skloot,eng
209,The Silence of the Lambs,4.14,Thomas Harris,eng
210,,4.14,Richelle Mead,en-US
211,Blink: The Power of Thinking Without Thinking,3.89,Malcolm Gladwell,en-US
212,Atonement,3.88,Ian McEwan,eng
213,Die Verwandlung,3.78,"Franz Kafka, Stanley Corngold",eng
214,The Titan's Curse,4.33,Rick Riordan,eng
215,,4.31,Ernest Cline,eng
216,The Art of Racing in the Rain,4.19,Garth Stein,eng
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",3.98,"Erik Larson, Tony Goldwyn",eng
218,Bared to You,4.19,Sylvia Day,eng
219,The Chronicles of Narnia,4.24,"C.S. Lewis, Pauline Baynes",eng
220,Twilight: The Complete Illustrated Movie Companion,4.23,Mark Cotta Vaz,en-US
221,"A Child Called ""It"": One Child's Courage to Survive",4.08,Dave Pelzer,eng
222,The Bourne Identity,3.98,Robert Ludlum,eng
223,Artemis Fowl,3.82,Eoin Colfer,eng
224,Fallen,3.74,Lauren Kate,en-US
225,East of Eden  ,4.35,John Steinbeck,eng
226,Dark Places,3.92,Gillian Flynn,eng
227,The Client,3.97,John Grisham,eng
228,The Nanny Diaries,3.4,"Emma McLaughlin, Nicola Kraus",eng
229,Alice's Adventures in Wonderland,4.06,"Lewis Carroll, John Tenniel, Martin Gardner",eng
230,Persuasion,4.13,"Jane Austen, James Kinsley, Deidre Shauna Lynch",eng
231,Elle s'appelait Sarah,4.14,Tatiana de Rosnay,eng
232,The Gunslinger,3.99,Stephen King,en-US
233,El amor en los tiempos del cólera,3.89,"Gabriel García Márquez, Edith Grossman",eng
234,Speak,4,Laurie Halse Anderson,eng
235,The Husband's Secret ,3.92,Liane Moriarty,eng
236,Into Thin Air: A Personal Account of the Mt. Everest Disaster,4.11,Jon Krakauer,en-US
237,Carrie,3.93,Stephen King,
238,Running with Scissors,3.7,Augusten Burroughs,en-US
239,World War Z: An Oral History of the Zombie War,4.01,Max Brooks,en-US
240,Inferno,3.8,Dan Brown,eng
241,Number the Stars,4.11,Lois Lowry,eng
242,Along Came a Spider,4.08,James Patterson,eng
243,Misery,4.11,Stephen King,en-GB
244,Sharp Objects,3.92,Gillian Flynn,en-US
245,Bridge to Terabithia,3.98,Katherine Paterson,eng
246,Marked,3.79,"P.C. Cast, Kristin Cast",en-US
247,The 7 Habits of Highly Effective People,4.05,Stephen R. Covey,en-US
248,A Midsummer Night's Dream,3.94,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",eng
249,Extremely Loud and Incredibly Close,3.97,Jonathan Safran Foer,en-US
250,Wonder,4.43,R.J. Palacio,eng
251,The Cat in the Hat,4.15,Dr. Seuss,eng
252,Cinder,4.15,Marissa Meyer,eng
253,The Cuckoo's Calling,3.83,"Robert Galbraith, J.K. Rowling",en-US
254,Shiver,3.78,Maggie Stiefvater,eng
255,Atlas Shrugged,3.68,"Ayn Rand, Leonard Peikoff",eng
256,Three Cups of Tea ,3.64,"Greg Mortenson, David Oliver Relin",en-US
257,,4.03,"Jane Carruth, Lewis Carroll, Rene Cloke",eng
258,La sombra del viento,4.24,"Carlos Ruiz Zafón, Lucia Graves",eng
259,The Scorch Trials,3.93,James Dashner,eng
260,How to Win Friends and Influence People,4.13,Dale Carnegie,eng
261,Under the Tuscan Sun,3.72,Frances Mayes,eng
262,Big Little Lies,4.2,Liane Moriarty,eng
263,Ella Enchanted,3.97,Gail Carson Levine,eng
264,The Sun Also Rises,3.83,Ernest Hemingway,en-US
265,A Tree Grows In Brooklyn ,4.24,Betty  Smith,eng
266,Kiss the Girls,3.93,James Patterson,eng
267,The Nightingale,4.54,Kristin Hannah,eng
268,Never Let Me Go,3.8,Kazuo Ishiguro,eng
269,"PS, I Love You",4.01,Cecelia Ahern,en-US
270,Rebecca,4.2,"Daphne du Maurier, Sally Beauman",en-US
271,Flowers for Algernon,4.07,Daniel Keyes,en-US
272,Como agua para chocolate,3.94,"Laura Esquivel, Thomas  Christensen, Carol Christensen",en-US
273,Snow Flower and the Secret Fan,4.05,Lisa See,eng
274,The Godfather,4.36,"Mario Puzo, Robert Thompson, Peter Bart",eng
275,An Abundance of Katherines,3.63,John Green,eng
276,Foundation,4.13,Isaac Asimov,eng
277,The Ocean at the End of the Lane,3.99,Neil Gaiman,eng
278,A Light in the Attic,4.34,Shel Silverstein,eng
279,"Harry Potter and the Cursed Child, Parts One and Two",3.75,"John Tiffany, Jack Thorne, J.K. Rowling",eng
280,Delirium,3.99,Lauren Oliver,eng
281,The Pelican Brief,3.95,John Grisham,eng
282,Coraline,4.03,Neil Gaiman,eng
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25,"Terry Pratchett, Neil Gaiman",en-US
284,On the Road,3.64,Jack Kerouac,eng
285,The Rosie Project,4.01,Graeme Simsion,eng
286,The Lucky One,4.1,Nicholas Sparks,en-US
287,The Fountainhead,3.85,"Ayn Rand, Leonard Peikoff",eng
288,The Hunt for Red October,4.01,Tom Clancy,
289,Watership Down,4.05,Richard Adams,eng
290,Is Everyone Hanging Out Without Me? (And Other Concerns),3.84,Mindy Kaling,eng
291,Cutting for Stone,4.28,Abraham Verghese,eng
292,The Voyage of the Dawn Treader,4.08,"C.S. Lewis, Pauline Baynes",eng
293,Treasure Island,3.82,Robert Louis Stevenson,eng
294,The Son of Neptune ,4.44,Rick Riordan,eng
295,11/22/63,4.29,Stephen King,eng
296,The Very Hungry Caterpillar,4.29,Eric Carle,eng
297,Cat's Cradle,4.18,Kurt Vonnegut Jr.,eng
298,The Time Machine,3.87,"H.G. Wells, Greg Bear, Carlo Pagetti",eng
299,,4.01,"Todd Burpo, Lynn Vincent",eng
300,The Boy in the Striped Pyjamas,4.1,John Boyne,eng
301,Heart of Darkness,3.42,Joseph Conrad,eng
302,Safe Haven,4.19,Nicholas Sparks,eng
303,The Secret,3.62,Rhonda Byrne,eng
304,I Know This Much Is True ,4.17,Wally Lamb,eng
305,Pet Sematary,3.91,Stephen King,eng
306,She's Come Undone,3.84,Wally Lamb,en-US
307,The Wise Man's Fear,4.57,Patrick Rothfuss,eng
308,Can You Keep a Secret?,3.83,Sophie Kinsella,en-US
309,City of Fallen Angels,4.16,Cassandra Clare,en-US
310,Good in Bed,3.7,Jennifer Weiner,en-US
311,The Thorn Birds,4.22,Colleen McCullough,eng
312,The Graveyard Book,4.12,"Neil Gaiman, Dave McKean",en-US
313,The Light Between Oceans,4,M.L. Stedman,eng
314,Tintenherz,3.86,"Cornelia Funke, Anthea Bell",en-US
315,Who Moved My Cheese?,3.74,"Spencer Johnson, Kenneth H. Blanchard",eng
316,A Walk in the Woods,4.05,Bill Bryson,eng
317,I Know Why the Caged Bird Sings,4.19,Maya Angelou,en-US
318,Orphan Train,4.14,Christina Baker Kline,eng
319,City of Lost Souls,4.3,Cassandra Clare,eng
320,"Where'd You Go, Bernadette",3.9,Maria Semple,eng
321,Where the Red Fern Grows,4.04,Wilson Rawls,
322,Neverwhere,4.18,Neil Gaiman,eng
323,Nesnesitelná lehkost bytí,4.08,"Milan Kundera, Michael Henry Heim",eng
324,,4.12,Rainbow Rowell,eng
325,A Prayer for Owen Meany,4.22,John Irving,eng
326,White Oleander,3.93,Janet Fitch,eng
327,Legend,4.19,Marie Lu,eng
328,Nineteen Minutes,4.1,Jodi Picoult,eng
329,The Last Lecture,4.25,"Randy Pausch, Jeffrey Zaslow",eng
330,The Eye of the World,4.18,Robert Jordan,eng
331,The Pact,4,Jodi Picoult,en-US
332,The magician's nephew,4.01,C.S. Lewis,eng
333,Still Alice,4.3,Lisa Genova,eng
334,Reflected in You,4.33,Sylvia Day,eng
335,James and the Giant Peach,3.99,"Roald Dahl, Quentin Blake",eng
336,1st To Die,4.05,James Patterson,en-US
337,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,4.37,Douglas Adams,eng
338,One Day,3.77,David Nicholls,eng
339,,4.27,"Margaret Wise Brown, Clement Hurd",en-US
340,I Am Number Four,3.94,Pittacus Lore,en-US
341,Ἰλιάς,3.83,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",eng
342,The Casual Vacancy,3.28,J.K. Rowling,eng
343,The Runaway Jury,3.96,John Grisham,eng
344,Naked,4.08,David Sedaris,en-US
345,Eldest,3.96,Christopher Paolini,en-US
346,The Wonderful Wizard of Oz,3.98,"L. Frank Baum, W.W. Denslow",eng
347,Prince Caspian: The Return to Narnia,3.96,C.S. Lewis,eng
348,We Were Liars,3.85,E. Lockhart,eng
349,Salem's Lot,3.99,Stephen King,en-GB
350,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,4.08,"Hunter S. Thompson, Ralph Steadman",eng
351,Clockwork Prince,4.46,Cassandra Clare,eng
352,Yes Please,3.81,Amy Poehler,eng
353,"The Tragedy of Othello, The Moor of Venice",3.88,William Shakespeare,eng
354,Beloved,3.77,Toni Morrison,eng
355,Graceling,4.1,Kristin Cashore,en-CA
356,The Bad Beginning,3.89,"Lemony Snicket, Brett Helquist",eng
357,Im Westen nichts Neues,3.92,"Erich Maria Remarque, A.W. Wheen",en-US
358,"Oh, the Places You'll Go!",4.34,Dr. Seuss,en-US
359,And The Mountains Echoed,4.03,Khaled Hosseini,eng
360,Do Androids Dream of Electric Sheep?,4.08,"Philip K. Dick, Roger Zelazny",eng
361,Oliver Twist,3.85,"Charles Dickens, George Cruikshank, Philip Horne",eng
362,A Grief Observed,4.21,C.S. Lewis,eng
363,Anna and the French Kiss,4.08,Stephanie Perkins,en-US
364,How the Grinch Stole Christmas!,4.36,Dr. Seuss,eng
365,V for Vendetta,4.25,"Alan Moore, David   Lloyd",eng
366,John Adams,4.05,David McCullough,eng
367,Odd Thomas,3.94,Dean Koontz,eng
368,The Subtle Knife,4.1,Philip Pullman,eng
369,Stargirl,3.74,Jerry Spinelli,eng
370,The Red Pyramid,4.06,Rick Riordan,eng
371,Stranger in a Strange Land,3.91,Robert A. Heinlein,eng
372,Dress Your Family in Corduroy and Denim,4.08,David Sedaris,eng
373,The BFG,4.22,"Roald Dahl, Quentin Blake",eng
374,A Short History of Nearly Everything,4.19,Bill Bryson,en-US
375,The Call of the Wild,3.83,Jack London,eng
376,The Death Cure,3.77,James Dashner,eng
377,Stardust,4.07,Neil Gaiman,eng
378,The Namesake,3.96,Jhumpa Lahiri,en-US
379,A Discovery of Witches,3.99,Deborah Harkness,eng
380,ノルウェイの森 [Noruwei no Mori],4.02,"Haruki Murakami, Jay Rubin",eng
381,Where the Heart Is,4,Billie Letts,en-US
382,"Will Grayson, Will Grayson",3.84,"John Green, David Levithan",eng
383,A Million Little Pieces,3.62,James Frey,en-CA
384,Frostbite,4.3,Richelle Mead,eng
385,Quiet: The Power of Introverts in a World that Can't Stop Talking,4.04,Susan Cain,eng
386,Island of the Blue Dolphins,3.8,Scott O'Dell,en-CA
387,The Crucible,3.55,"Arthur Miller, Christopher Bigsby",eng
388,Hatchet,3.68,Gary Paulsen,en-US
389,Mistborn : The Final Empire,4.43,Brandon Sanderson,eng
390,The Strange Case of Dr Jekyll and Mr Hyde,3.79,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",eng
391,The Lorax,4.35,Dr. Seuss,eng
392,Greg Heffley's Journal,3.96,Jeff Kinney,en-US
393,Throne of Glass,4.24,Sarah J. Maas,eng
394,Shadow Kiss,4.37,Richelle Mead,en-US
395,For Whom the Bell Tolls,3.95,Ernest Hemingway,eng
396,Hotel on the Corner of Bitter and Sweet,3.98,Jamie Ford,eng
397,Das Parfum. Die Geschichte eines Mörders,4,"Patrick Süskind, John E. Woods",eng
398,Fast Food Nation : The Dark Side of the All-American Meal ,3.73,Eric Schlosser,eng
399,The Tales of Beedle the Bard,4.06,J.K. Rowling,en-US
400,Neuromancer,3.88,William Gibson,eng
401,A Farewell to Arms,3.79,Ernest Hemingway,en-US
402,The Tell-Tale Heart,4.15,Edgar Allan Poe,en-GB
403,孫子兵法 [Sūnzi bīngfǎ],3.95,"Sun Tzu, Thomas Cleary",eng
404,Defending Jacob,3.97,William Landay,eng
405,Breakfast of Champions,4.08,Kurt Vonnegut Jr.,eng
406,Drawing on the Right Side of the Brain,3.84,Betty Edwards,en-US
407,Bel Canto,3.92,Ann Patchett,eng
408,"Guns, Germs, and Steel: The Fates of Human Societies",4,Jared Diamond,eng
409,Fried Green Tomatoes at the Whistle Stop Cafe,4.26,Fannie Flagg,
410,Things Fall Apart,3.61,Chinua Achebe,en-US
411,The Undomestic Goddess,3.82,Sophie Kinsella,eng
412,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,4.23,Gary Chapman,en-US
413,Les Trois Mousquetaires,4.06,Alexandre Dumas,
414,The Other Hand,3.7,Chris Cleave,en-US
415,Evermore,3.59,Alyson Noel,en-US
416,The Witches,4.17,"Roald Dahl, Quentin Blake",en-US
417,The Thirteenth Tale,3.95,Diane Setterfield,eng
418,Spirit Bound,4.37,Richelle Mead,eng
419,Blood Promise,4.35,Richelle Mead,en-US
420,Message in a Bottle,3.95,Nicholas Sparks,en-US
421,The Paris Wife,3.79,Paula McLain,eng
422,Complete Harry Potter Boxed Set,4.74,J.K. Rowling,eng
423,The Elite,4.02,Kiera Cass,eng
424,Il nome della rosa,4.11,"Umberto Eco, William Weaver, Seán Barrett",en-US
425,Go Ask Alice,3.77,"Beatrice Sparks, Anonymous",eng
426,A Confederacy of Dunces,3.89,"John Kennedy Toole, Walker Percy",eng
427,The Importance of Being Earnest,4.17,Oscar Wilde,eng
428,The Mark of Athena,4.47,Rick Riordan,eng
429,The Colour of Magic,3.97,Terry Pratchett,eng
430,海辺のカフカ [Umibe no Kafuka],4.13,"Haruki Murakami, Philip Gabriel",en-US
431,Red Dragon,4.01,Thomas Harris,eng
432,"I, Robot",4.17,Isaac Asimov,eng
433,Dark Lover,4.21,J.R. Ward,eng
434,Crescendo,4.07,Becca Fitzpatrick,en-US
435,Before I Fall,3.92,Lauren Oliver,eng
436,The God of Small Things,3.91,Arundhati Roy,eng
437,The Invention of Wings,4.23,Sue Monk Kidd,en-US
438,What Alice Forgot,4.05,Liane Moriarty,eng
439,A Brief History of Time: From the Big Bang to Black Holes,4.12,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",eng
440,Fall of Giants,4.26,Ken Follett,eng
441,Under the Dome,3.89,Stephen King,eng
442,Snow Crash,4.02,Neal Stephenson,eng
443,Just Listen,4.06,Sarah Dessen,en-US
444,Winnie-the-Pooh,4.34,"A.A. Milne, Ernest H. Shepard",eng
